# Ensemble Comparison Report (threshold = 0.02)
# Format: SMILES	Classical	Hybrid	Ensemble	(Ensemble - Classical)	(Ensemble - Hybrid)
CCNc1nc(C2CC2)nc(N2CCCOCC2)c1C	0.9039	0.8800	0.9027	-0.0012	+0.0227
O=C(O)c1cc(I)cc(I)c1I	0.8480	0.8359	0.8505	+0.0025	+0.0146
COc1cc(C=NNC(=O)c2ccc(C(C)C)cc2)cc(OC)c1OC	0.9581	0.9582	0.9629	+0.0048	+0.0047
CCOC(=O)C=C(C)C(O)CC(C)=O	0.8972	0.9141	0.9121	+0.0149	-0.0020
N#CCc1csc2ccc(Cl)cc12	0.8707	0.8551	0.8723	+0.0016	+0.0172
CCCCSc1nnc2n(-c3cccc(C)c3)c(=O)c3c4c(sc3n12)COC(C(C)C)C4	0.8809	0.8568	0.8857	+0.0048	+0.0289
COC=C1CCC(c2ccc(C(=O)O)cc2)CC1	0.8798	0.8897	0.8976	+0.0178	+0.0079
CCOc1cccc(Oc2cc(Cl)nc(CC)n2)c1	0.8676	0.9205	0.9035	+0.0359	-0.0170
COc1cccc(CCC(=O)n2ccn(-c3ccc(Oc4ccccc4)cc3)c2=O)c1	0.9021	0.9054	0.9111	+0.0090	+0.0057
C=C=C=C=C=C=C=C=C=C=C=C=C=C=C=C=C=C=C=C=C=C=C=C=C=C=C=C=C=C=C=C=C=C=C=C=C=C=C=C	0.4190	0.4849	0.4686	+0.0496	-0.0163
O=C1/C(=C/c2ccc3c(c2)OCO3)Oc2ccccc21	0.9244	0.8370	0.8902	-0.0341	+0.0533
C=CC(=O)N(C)C	0.8499	0.7601	0.8224	-0.0275	+0.0623
COC(=O)c1ccc2c(C3CCCCC3)c3n(c2c1)CC(C(=O)OC)N(C)c1ccccc1-3	0.9412	0.9234	0.9408	-0.0004	+0.0174
COc1cccc(-c2cc(C(=O)Nc3ccc(OC)cc3OC)c3ccccc3n2)c1	0.9700	0.9782	0.9764	+0.0064	-0.0018
O=C1[C@H]2ON(c3ccccc3)[C@H](c3ccccc3)[C@H]2C(=O)N1c1ccccc1	0.9547	0.9598	0.9711	+0.0164	+0.0113
CCOc1ccc(Nc2ccc(NC(=O)Cc3ccc(C)cc3)cn2)cc1	0.9719	0.9641	0.9737	+0.0018	+0.0096
C=CC(=O)C(=S)OC(C)C(=O)O	0.7697	0.8156	0.8103	+0.0406	-0.0053
N=C(S)N(c1ccccc1)c1ccccc1	0.8265	0.8212	0.8366	+0.0101	+0.0154
CC1C=CC(=O)C2C1C(O)C1C(N(C)C)C(=O)C(C(N)=O)=C(O)C1(O)C2O	0.8119	0.8037	0.8224	+0.0105	+0.0187
O=c1o[nH]c2cccc([N+](=O)[O-])c2c1=O	0.7371	0.7253	0.7438	+0.0066	+0.0185
CC(C)S(C)(=O)=O	0.8527	0.8294	0.8731	+0.0204	+0.0437
NC(=O)CSc1ccccc1C(=O)NC1CCN(c2ccccc2)CC1	0.9125	0.9249	0.9255	+0.0129	+0.0006
CCNCCOc1ccc(CC(C)NCC(OC)c2cccc(Cl)c2)cc1	0.9410	0.9411	0.9486	+0.0076	+0.0075
CC(=O)N1CCC(CCC(=O)Nc2ccc3c(=O)cc[nH]c3c2)CC1	0.8934	0.9295	0.9246	+0.0313	-0.0049
CC(=O)Nc1cc(S(=O)(=O)O)cc2cc(S(=O)(=O)O)c(N=Nc3ccccc3[N+](=O)[O-])c(O)c12	0.8407	0.8524	0.8540	+0.0133	+0.0016
Cc1ccccc1NC(=O)C(=O)Nc1ccccc1	0.9355	0.9154	0.9396	+0.0041	+0.0242
CCC(C)C(CO)N=C(C)O	0.9303	0.9459	0.9446	+0.0143	-0.0013
Cc1nc(-c2ccccn2)nc(Sc2ncc3ccccn23)c1C	0.8940	0.9004	0.9032	+0.0092	+0.0028
C=C(C=C(C)C(=O)O)C(=O)OC1CCC1OCC	0.8851	0.9129	0.9150	+0.0299	+0.0022
O=C(C(=O)c1ccccn1)c1ccccn1	0.8307	0.8531	0.8678	+0.0370	+0.0146
Cc1nn(C)c2ncc(C(=O)Nc3ccc(F)c(F)c3F)cc12	0.9581	0.9498	0.9577	-0.0004	+0.0079
CC1CCN(Cc2nn(C)c3ccccc23)CC1CN	0.9486	0.9464	0.9624	+0.0138	+0.0160
CCN(C(C)C)C(C)C	0.9052	0.9051	0.9230	+0.0178	+0.0179
